,14,21,28,7
2020-08-01,67.57479977607727,108.46269798278809,135.20226383209229,43.84637379646301
2020-10-01,84.73957657814026,133.3829345703125,161.85237669944763,48.03273010253906
2020-12-01,171.8217740058899,325.46981716156006,443.3157024383545,58.54755687713623
2021-01-01,332.1070649623871,532.4891324043274,834.1205093860626,112.32519388198853
2021-03-01,1203.1311218738556,1912.96581864357,2799.1335968971252,611.7296404838562
2021-05-01,777.1289484500885,1307.3392052650452,1844.2205998897552,319.01001358032227
2021-07-01,1273.4576799869537,1838.1836187839508,2420.8729553222656,610.7871026992798
2021-08-01,1005.9984035491943,1502.3058354854584,1859.1620886325836,412.19949173927307
2021-11-01,757.8668804168701,1052.3012742996216,1291.9632413387299,356.87837767601013
2022-02-01,439.29621934890747,669.6100635528564,899.3578007221222,224.70826625823975
2022-04-01,943.1514887809753,1255.083901166916,1558.0340659618378,625.7123646736145
2022-06-01,1205.172792673111,1638.213411808014,1973.422547340393,788.1325106620789
